location_id,city/town,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,Otsu,34.973637,135.85768,97.0,0,GMT,GMT
1,Hikone,35.32513,136.26599,90.0,0,GMT,GMT
2,Nagahama,35.32513,136.26599,93.0,0,GMT,GMT
3,Shigaraki,34.83304,136.19772,243.0,0,GMT,GMT

location_id,time,shortwave_radiation_sum (MJ/m²),sunshine_duration (s),daylight_duration (s),dew_point_2m_mean (°C),dew_point_2m_max (°C)
0,2021-01-01,8.34,23333.79,35486.01,-4.9,-2.0
0,2021-01-02,9.12,33230.42,35522.36,-3.0,-0.9
0,2021-01-03,6.45,26938.61,35561.54,-1.8,-0.1
0,2021-01-04,9.80,29148.32,35603.49,-1.6,-0.1
0,2021-01-05,7.44,24621.54,35648.17,0.0,1.5
0,2021-01-06,9.69,28440.21,35695.52,-4.1,-0.1
0,2021-01-07,5.66,18770.03,35745.49,-9.2,1.2
0,2021-01-08,11.85,35243.32,35798.16,-11.8,-10.0
0,2021-01-09,11.98,35300.77,35854.12,-10.1,-7.9
0,2021-01-10,8.96,25365.50,35913.35,-6.0,-4.5
0,2021-01-11,7.16,19686.69,35975.72,-2.7,-0.2
0,2021-01-12,3.93,4888.51,36041.12,-1.5,1.5
0,2021-01-13,11.25,35474.13,36109.39,-1.5,1.1
0,2021-01-14,9.21,35489.20,36180.42,0.8,3.4
0,2021-01-15,11.71,34991.51,36254.10,2.9,6.1
0,2021-01-16,5.55,20890.32,36330.26,2.8,8.8
0,2021-01-17,7.24,27283.40,36408.81,-2.9,1.6
0,2021-01-18,11.79,32716.78,36489.61,-3.1,-0.1
0,2021-01-19,4.86,5668.16,36572.54,-5.3,-2.0
0,2021-01-20,12.01,32616.41,36657.49,-3.0,-1.4
0,2021-01-21,12.68,32400.00,36744.31,1.4,5.6
0,2021-01-22,2.16,0.00,36832.92,6.6,7.9
0,2021-01-23,1.48,0.00,36923.17,5.7,6.9
0,2021-01-24,1.62,3330.92,37014.97,4.7,6.8
0,2021-01-25,12.66,35769.28,37108.18,2.6,5.4
0,2021-01-26,8.11,20418.24,37202.71,7.7,9.3
0,2021-01-27,10.34,32400.00,37298.44,2.1,7.9
0,2021-01-28,4.44,9891.76,37395.46,-0.2,5.1
0,2021-01-29,8.61,26566.12,37494.75,-5.9,-3.7
0,2021-01-30,7.42,18899.69,37596.36,-2.3,0.9
0,2021-01-31,9.30,34733.18,37700.16,-2.0,1.1
0,2021-02-01,10.40,21600.00,37805.98,4.6,9.9
0,2021-02-02,9.66,26018.27,37913.70,-2.5,5.8
0,2021-02-03,4.90,11335.15,38023.16,-4.7,-2.8
0,2021-02-04,6.97,25425.89,38134.23,-2.0,1.1
0,2021-02-05,14.61,36000.00,38246.78,0.2,2.4
0,2021-02-06,14.90,36120.07,38360.67,1.5,4.0
0,2021-02-07,11.15,32487.50,38475.78,2.6,4.9
0,2021-02-08,6.71,14959.70,38591.97,-2.6,-0.1
0,2021-02-09,5.86,10107.62,38709.11,-3.2,-1.8
0,2021-02-10,14.96,36286.49,38827.10,-0.3,1.9
0,2021-02-11,13.94,32400.00,38945.80,0.4,1.9
0,2021-02-12,10.71,31463.81,39065.10,5.0,6.8
0,2021-02-13,11.98,33205.80,39184.87,6.7,9.3
0,2021-02-14,13.22,32400.00,39305.01,8.6,9.8
0,2021-02-15,4.25,6605.84,39425.40,2.9,10.2
0,2021-02-16,9.43,29062.82,39545.92,-2.8,-0.2
0,2021-02-17,16.07,37815.14,39666.67,-10.9,-4.4
0,2021-02-18,12.35,26636.82,39788.70,-5.1,-3.0
0,2021-02-19,14.45,34720.71,39912.08,-1.5,1.0
0,2021-02-20,16.48,38004.34,40036.71,3.4,6.0
0,2021-02-21,17.13,38260.35,40162.47,6.7,9.2
0,2021-02-22,17.07,38226.36,40289.24,6.0,7.8
0,2021-02-23,8.38,19703.24,40416.92,-2.8,2.8
0,2021-02-24,18.03,38724.09,40545.40,-4.1,-2.3
0,2021-02-25,17.37,32400.00,40674.57,-1.7,2.7
0,2021-02-26,5.37,3645.52,40804.32,-0.9,3.4
0,2021-02-27,18.51,38770.57,40934.55,-2.2,1.5
0,2021-02-28,13.91,31411.09,41065.16,3.9,6.3
0,2021-03-01,15.61,33252.63,41196.05,8.7,12.5
0,2021-03-02,3.31,4654.96,41327.11,-0.0,13.7
0,2021-03-03,17.69,38505.26,41458.25,-1.0,4.3
0,2021-03-04,12.83,25200.00,41589.37,7.0,8.2
0,2021-03-05,4.07,407.16,41720.37,9.3,10.4
0,2021-03-06,9.72,16235.40,41851.15,2.6,9.9
0,2021-03-07,13.58,21600.00,41981.63,2.1,4.4
0,2021-03-08,12.28,27095.49,42111.70,1.0,4.3
0,2021-03-09,14.29,33118.79,42241.44,5.2,7.6
0,2021-03-10,17.52,41909.38,42371.83,-0.5,4.4
0,2021-03-11,20.19,34664.87,42502.98,3.9,7.2
0,2021-03-12,6.34,985.55,42634.78,8.6,10.0
0,2021-03-13,7.90,15371.98,42767.14,4.5,9.3
0,2021-03-14,20.25,41473.67,42899.98,0.7,4.5
0,2021-03-15,20.21,36248.66,43033.21,2.7,5.2
0,2021-03-16,9.18,24363.20,43166.74,8.4,11.6
0,2021-03-17,21.09,42750.02,43300.48,0.6,3.9
0,2021-03-18,22.07,42835.08,43434.36,2.4,3.9
0,2021-03-19,21.62,42920.29,43568.27,3.7,9.2
0,2021-03-20,18.02,31233.85,43702.14,11.1,14.9
0,2021-03-21,5.48,7090.71,43835.88,8.9,17.0
0,2021-03-22,18.71,43175.73,43969.39,0.5,1.6
0,2021-03-23,21.01,43200.00,44102.60,1.7,4.4
0,2021-03-24,20.48,36000.00,44235.42,7.9,9.5
0,2021-03-25,7.47,13144.61,44367.76,7.4,10.2
0,2021-03-26,22.14,43200.00,44499.52,4.0,6.9
0,2021-03-27,20.17,32117.24,44630.62,8.3,10.4
0,2021-03-28,4.77,960.57,44760.97,12.8,14.6
0,2021-03-29,19.55,38096.65,44890.64,9.4,12.1
0,2021-03-30,19.11,38225.11,45020.55,7.8,11.8
0,2021-03-31,23.67,43200.00,45150.79,5.6,7.5
0,2021-04-01,22.47,37286.93,45281.26,8.7,11.8
0,2021-04-02,15.07,35483.05,45411.90,10.3,11.8
0,2021-04-03,15.06,36000.00,45542.61,10.6,13.1
0,2021-04-04,5.43,3600.00,45673.31,11.5,15.6
0,2021-04-05,19.82,32179.35,45803.93,3.5,4.7
0,2021-04-06,12.56,20513.30,45934.37,8.1,10.2
0,2021-04-07,23.28,43200.00,46064.55,3.2,6.1
0,2021-04-08,19.78,42468.76,46194.39,5.0,9.2
0,2021-04-09,22.82,43200.00,46323.78,-0.4,2.0
0,2021-04-10,24.94,43200.00,46452.65,2.3,5.1
0,2021-04-11,23.84,43030.81,46580.91,6.5,8.6
0,2021-04-12,17.40,24294.03,46708.46,8.3,11.6
0,2021-04-13,10.72,15593.69,46835.20,13.4,15.0
0,2021-04-14,15.18,30363.51,46961.05,4.5,12.6
0,2021-04-15,22.25,32563.60,47085.90,4.5,8.4
0,2021-04-16,7.65,6970.18,47209.66,10.7,12.9
0,2021-04-17,3.31,7638.12,47332.23,10.2,13.4
0,2021-04-18,20.17,43200.00,47453.66,3.3,5.4
0,2021-04-19,24.19,43809.03,47574.84,5.9,9.2
0,2021-04-20,25.55,43775.67,47695.82,8.6,10.2
0,2021-04-21,25.78,44030.18,47816.55,5.0,9.3
0,2021-04-22,21.45,42514.56,47936.92,4.9,11.3
0,2021-04-23,22.40,38162.11,48056.84,10.3,11.3
0,2021-04-24,17.63,37489.22,48176.22,10.8,12.0
0,2021-04-25,22.93,40882.26,48294.98,3.4,10.2
0,2021-04-26,27.15,44898.23,48413.00,2.0,4.3
0,2021-04-27,22.22,36000.00,48530.20,8.2,12.3
0,2021-04-28,5.55,0.00,48646.48,14.1,15.2
0,2021-04-29,3.94,2752.26,48761.74,11.8,14.5
0,2021-04-30,21.74,38600.96,48875.87,10.1,12.5
0,2021-05-01,17.37,31887.46,48988.78,11.2,15.3
0,2021-05-02,17.36,39108.19,49100.34,6.4,8.1
0,2021-05-03,24.26,45436.93,49210.46,7.4,10.8
0,2021-05-04,23.46,31863.26,49319.03,10.5,12.6
0,2021-05-05,5.75,10479.24,49425.93,13.5,15.9
0,2021-05-06,26.21,37807.92,49531.05,11.6,15.6
0,2021-05-07,8.15,3600.00,49634.28,11.7,14.3
0,2021-05-08,14.16,17526.59,49735.63,14.3,15.8
0,2021-05-09,21.72,47756.17,49835.92,9.3,15.5
0,2021-05-10,25.85,45572.30,49935.19,8.9,10.9
0,2021-05-11,17.64,18927.44,50033.38,10.8,13.4
0,2021-05-12,7.86,1552.56,50130.37,12.9,14.0
0,2021-05-13,22.04,44067.46,50226.09,15.0,17.2
0,2021-05-14,24.69,44446.23,50320.43,17.2,19.3
0,2021-05-15,19.30,25471.08,50413.30,16.6,18.1
0,2021-05-16,7.77,1131.17,50504.59,18.5,21.8
0,2021-05-17,8.22,4083.66,50594.23,20.2,22.8
0,2021-05-18,12.39,15418.32,50682.08,18.0,19.9
0,2021-05-19,9.06,7611.43,50768.07,16.6,19.1
0,2021-05-20,3.82,0.00,50852.08,19.1,21.2
0,2021-05-21,9.35,14079.07,50934.02,16.3,21.0
0,2021-05-22,13.21,21915.99,51013.77,13.9,14.9
0,2021-05-23,23.44,38020.11,51091.23,14.9,18.0
0,2021-05-24,10.03,20127.82,51166.28,15.2,17.4
0,2021-05-25,22.29,41303.92,51238.82,12.8,15.2
0,2021-05-26,17.62,26303.58,51308.75,10.8,13.0
0,2021-05-27,5.53,7128.85,51375.94,14.5,15.7
0,2021-05-28,22.98,37840.72,51440.41,15.3,17.4
0,2021-05-29,21.95,45139.65,51502.69,13.6,15.4
0,2021-05-30,24.95,50351.06,51562.83,12.2,14.4
0,2021-05-31,28.86,50245.88,51620.77,12.9,15.1
0,2021-06-01,26.65,39600.00,51676.46,14.9,17.5
0,2021-06-02,17.09,30714.97,51729.83,16.1,17.1
0,2021-06-03,18.87,21600.00,51780.83,16.6,20.2
0,2021-06-04,6.49,5596.52,51829.40,16.1,21.4
0,2021-06-05,12.27,12464.69,51875.49,14.6,15.8
0,2021-06-06,19.40,23060.98,51919.03,16.1,18.0
0,2021-06-07,26.05,45621.72,51959.96,16.2,19.3
0,2021-06-08,24.79,50154.91,51998.24,16.9,19.2
0,2021-06-09,28.78,50400.00,52033.80,15.6,17.6
0,2021-06-10,28.11,48457.21,52066.59,15.7,18.2
0,2021-06-11,21.48,36736.96,52096.56,16.1,18.4
0,2021-06-12,18.49,26105.10,52123.64,17.3,18.5
0,2021-06-13,12.67,11948.15,52147.80,18.7,19.5
0,2021-06-14,21.66,44248.92,52168.97,19.0,20.1
0,2021-06-15,18.31,25751.60,52187.10,19.4,20.3
0,2021-06-16,6.10,8663.35,52202.14,18.5,19.8
0,2021-06-17,22.83,38719.57,52214.06,17.4,18.7
0,2021-06-18,8.52,4711.93,52222.96,18.7,19.9
0,2021-06-19,7.78,9767.53,52228.85,18.8,20.0
0,2021-06-20,23.82,43200.00,52231.76,15.6,17.3
0,2021-06-21,26.48,45840.92,52231.71,16.8,19.1
0,2021-06-22,15.61,29003.32,52228.73,18.1,19.2
0,2021-06-23,22.14,43753.74,52222.83,17.5,18.4
0,2021-06-24,21.44,41500.57,52214.05,18.9,19.7
0,2021-06-25,19.18,40741.97,52202.40,19.3,20.0
0,2021-06-26,11.61,10526.57,52187.91,19.3,20.1
0,2021-06-27,12.79,17996.05,52170.61,18.7,19.5
0,2021-06-28,18.15,27091.64,52150.54,19.2,20.2
0,2021-06-29,20.62,47118.90,52127.71,19.4,20.5
0,2021-06-30,18.10,24960.38,52102.17,20.1,21.5
0,2021-07-01,12.73,17255.74,52073.94,19.9,21.9
0,2021-07-02,12.26,20856.84,52043.06,23.1,24.1
0,2021-07-03,16.50,33859.71,52009.56,22.5,23.5
0,2021-07-04,11.93,17582.35,51973.48,23.5,24.1
0,2021-07-05,11.12,10686.44,51934.84,23.1,24.7
0,2021-07-06,10.92,4327.58,51893.69,22.9,23.9
0,2021-07-07,5.55,3600.00,51849.99,23.0,23.6
0,2021-07-08,7.90,10239.92,51803.30,23.5,24.1
0,2021-07-09,10.45,15469.61,51753.66,23.3,24.3
0,2021-07-10,15.71,23792.71,51701.16,23.0,23.8
0,2021-07-11,23.01,40385.72,51645.88,21.9,22.7
0,2021-07-12,12.56,13890.17,51587.92,21.8,22.7
0,2021-07-13,20.47,40254.16,51527.39,22.0,22.5
0,2021-07-14,16.73,23720.97,51464.36,21.9,22.5
0,2021-07-15,19.11,38131.25,51398.94,21.8,22.7
0,2021-07-16,20.65,46800.00,51331.23,21.5,22.2
0,2021-07-17,23.71,47148.08,51261.30,21.3,22.5
0,2021-07-18,20.15,41739.87,51189.26,22.9,24.0
0,2021-07-19,26.02,50298.61,51115.20,22.7,23.9
0,2021-07-20,25.85,50257.12,51039.21,22.4,23.8
0,2021-07-21,27.52,50215.31,50961.37,20.8,22.7
0,2021-07-22,26.95,50173.28,50881.78,21.1,22.4
0,2021-07-23,25.48,48986.80,50800.53,22.1,23.4
0,2021-07-24,24.87,39600.00,50717.70,21.6,22.8
0,2021-07-25,24.18,45797.40,50633.38,21.0,22.7
0,2021-07-26,23.22,50000.54,50547.65,21.0,22.7
0,2021-07-27,20.83,32135.24,50460.47,21.2,22.4
0,2021-07-28,17.04,44149.08,50371.09,21.9,23.3
0,2021-07-29,21.93,48612.19,50279.49,22.1,23.7
0,2021-07-30,23.40,48642.63,50185.80,21.8,23.5
0,2021-07-31,21.14,47779.34,50090.13,22.6,23.8
0,2021-08-01,19.24,39084.39,49992.60,23.6,25.0
0,2021-08-02,20.01,38628.31,49893.31,22.3,24.9
0,2021-08-03,13.45,26114.96,49792.38,23.6,25.1
0,2021-08-04,24.13,47031.79,49689.92,24.0,24.7
0,2021-08-05,25.11,48746.07,49586.04,22.7,24.7
0,2021-08-06,17.63,37799.70,49480.83,23.2,23.7
0,2021-08-07,22.33,47149.89,49374.42,23.4,24.7
0,2021-08-08,23.16,45582.07,49266.89,23.2,24.7
0,2021-08-09,12.83,23968.38,49158.35,21.4,23.7
0,2021-08-10,20.04,39694.49,49048.88,20.6,21.2
0,2021-08-11,14.56,18049.74,48938.60,20.8,23.0
0,2021-08-12,3.93,0.00,48827.60,22.5,23.6
0,2021-08-13,4.35,0.00,48715.98,23.0,23.8
0,2021-08-14,4.99,0.00,48603.80,23.1,25.2
0,2021-08-15,16.19,27617.22,48491.17,20.2,21.6
0,2021-08-16,8.07,4781.72,48378.04,21.5,22.8
0,2021-08-17,7.25,6952.63,48263.55,22.8,25.1
0,2021-08-18,14.54,29707.29,48147.66,22.6,24.7
0,2021-08-19,5.57,7200.00,48030.47,22.1,23.9
0,2021-08-20,14.19,31579.31,47912.08,22.3,23.7
0,2021-08-21,9.01,10315.60,47792.59,22.5,24.4
0,2021-08-22,14.56,25368.09,47672.11,23.1,24.0
0,2021-08-23,11.48,19482.46,47550.72,23.7,24.9
0,2021-08-24,14.86,24042.91,47428.51,22.7,24.0
0,2021-08-25,18.86,43200.00,47305.59,23.7,24.8
0,2021-08-26,18.80,39620.43,47182.03,24.2,24.7
0,2021-08-27,23.39,43200.00,47057.94,22.0,24.0
0,2021-08-28,23.21,43200.00,46933.40,23.1,24.1
0,2021-08-29,20.33,43204.16,46808.48,22.7,24.5
0,2021-08-30,19.64,43224.95,46683.28,23.3,24.6
0,2021-08-31,19.90,40622.93,46557.89,19.7,20.7
0,2021-09-01,13.38,24376.17,46432.37,22.5,23.5
0,2021-09-02,5.43,3854.09,46306.81,21.5,23.1
0,2021-09-03,4.28,4491.97,46181.31,20.9,21.9
0,2021-09-04,11.55,25457.33,46055.92,20.9,23.3
0,2021-09-05,16.98,43200.00,45930.58,20.1,21.0
0,2021-09-06,18.89,41593.38,45804.43,18.2,19.8
0,2021-09-07,11.78,16336.62,45677.42,18.4,19.3
0,2021-09-08,8.34,10885.59,45549.62,20.5,21.1
0,2021-09-09,14.92,39901.64,45421.13,19.3,21.4
0,2021-09-10,21.52,37957.24,45292.02,18.9,21.1
0,2021-09-11,13.43,22587.61,45162.39,20.9,21.4
0,2021-09-12,5.38,0.00,45032.31,21.1,22.0
0,2021-09-13,12.20,10127.01,44901.87,17.0,19.8
0,2021-09-14,4.27,7200.00,44771.15,18.8,19.6
0,2021-09-15,20.13,43186.53,44640.23,17.8,19.9
0,2021-09-16,14.71,31412.55,44509.18,18.8,20.3
0,2021-09-17,5.15,6244.76,44378.09,21.2,23.3
0,2021-09-18,15.54,36238.88,44247.04,20.1,22.8
0,2021-09-19,19.74,42749.36,44116.10,18.9,20.6
0,2021-09-20,18.28,42750.40,43985.35,17.9,21.0
0,2021-09-21,17.45,39278.13,43854.87,19.5,22.7
0,2021-09-22,14.30,34730.79,43724.75,20.8,23.1
0,2021-09-23,17.41,40119.12,43595.04,18.9,20.8
0,2021-09-24,15.49,36546.02,43465.85,16.7,18.8
0,2021-09-25,14.32,32400.00,43337.07,18.9,20.0
0,2021-09-26,6.87,10800.00,43207.83,15.9,17.2
0,2021-09-27,19.31,41375.93,43078.03,16.8,17.6
0,2021-09-28,14.59,38907.48,42947.79,17.8,18.8
0,2021-09-29,14.98,40657.92,42817.16,19.1,19.7
0,2021-09-30,10.17,16460.76,42686.25,19.0,19.9
0,2021-10-01,9.05,9890.26,42555.14,17.3,19.4
0,2021-10-02,19.41,40789.72,42423.92,16.3,19.4
0,2021-10-03,19.11,40677.20,42292.67,17.6,20.6
0,2021-10-04,18.23,40031.32,42161.47,18.8,20.6
0,2021-10-05,18.77,39792.24,42030.43,17.1,18.9
0,2021-10-06,16.19,38688.01,41899.63,17.0,19.1
0,2021-10-07,12.98,39560.68,41769.15,19.4,20.6
0,2021-10-08,15.10,39549.83,41639.08,18.5,20.3
0,2021-10-09,15.76,32400.00,41509.51,18.7,19.9
0,2021-10-10,13.25,39415.58,41380.55,18.8,19.6
0,2021-10-11,14.01,25200.00,41252.27,20.5,21.8
0,2021-10-12,10.70,26356.08,41124.78,19.8,20.5
0,2021-10-13,13.57,38154.28,40998.17,17.5,20.2
0,2021-10-14,15.19,38031.33,40872.52,14.1,15.9
0,2021-10-15,16.99,39166.76,40747.78,14.8,16.4
0,2021-10-16,15.33,32400.00,40622.94,16.6,19.8
0,2021-10-17,12.55,34592.29,40497.93,7.9,11.5
0,2021-10-18,15.35,34568.01,40372.86,9.0,11.3
0,2021-10-19,10.63,29245.94,40247.81,10.5,13.2
0,2021-10-20,14.42,32982.49,40122.89,5.9,8.2
0,2021-10-21,9.06,18061.52,39998.22,6.6,8.3
0,2021-10-22,15.41,38103.11,39873.88,7.2,8.6
0,2021-10-23,13.83,35433.32,39750.00,5.6,7.7
0,2021-10-24,12.20,23281.62,39626.67,9.3,12.1
0,2021-10-25,2.20,6098.44,39504.01,11.4,12.8
0,2021-10-26,13.47,36000.00,39382.12,10.9,13.3
0,2021-10-27,13.41,34732.43,39261.13,10.6,12.8
0,2021-10-28,12.99,38293.70,39141.15,8.8,12.0
0,2021-10-29,15.58,37751.73,39022.29,6.7,9.3
0,2021-10-30,14.39,29069.22,38904.67,10.9,13.3
0,2021-10-31,5.18,5350.66,38788.42,11.8,14.4
0,2021-11-01,12.27,26423.91,38673.66,12.1,14.7
0,2021-11-02,12.19,35937.07,38560.52,9.5,12.3
0,2021-11-03,13.00,36808.73,38449.13,8.8,11.1
0,2021-11-04,12.84,36487.06,38339.41,8.0,10.7
0,2021-11-05,11.96,35865.36,38230.34,7.9,9.8
0,2021-11-06,12.86,30409.31,38121.84,9.4,11.5
0,2021-11-07,11.64,33077.59,38014.01,10.0,12.0
0,2021-11-08,9.68,28800.00,37906.97,13.2,15.0
0,2021-11-09,3.59,3917.29,37800.86,7.7,13.0
0,2021-11-10,12.21,35775.89,37695.77,6.0,7.8
0,2021-11-11,9.62,28180.41,37591.86,5.8,8.4
0,2021-11-12,11.93,34587.12,37489.22,2.7,8.0
0,2021-11-13,13.07,33295.36,37388.00,4.6,5.9
0,2021-11-14,10.39,29445.03,37288.32,7.3,8.9
0,2021-11-15,10.88,30814.30,37190.31,8.3,11.7
0,2021-11-16,11.00,31857.42,37094.11,8.2,9.6
0,2021-11-17,11.40,34454.10,36999.86,6.6,8.5
0,2021-11-18,11.57,31925.81,36907.69,5.6,8.2
0,2021-11-19,12.48,35068.95,36817.74,6.6,8.9
0,2021-11-20,12.43,35037.88,36730.15,6.6,10.0
0,2021-11-21,8.78,20860.63,36645.08,11.4,14.1
0,2021-11-22,2.04,3600.00,36562.65,8.3,16.1
0,2021-11-23,9.99,31713.44,36483.02,-0.1,2.6
0,2021-11-24,8.80,25944.27,36406.18,1.7,4.7
0,2021-11-25,10.01,32665.24,36331.25,4.8,6.3
0,2021-11-26,9.89,33372.97,36258.15,2.6,6.4
0,2021-11-27,9.87,33703.55,36186.99,1.6,3.4
0,2021-11-28,11.52,34352.72,36117.86,1.6,3.4
0,2021-11-29,11.69,34684.25,36050.84,1.9,4.5
0,2021-11-30,9.17,24538.38,35986.04,8.7,11.1
0,2021-12-01,10.27,30287.14,35923.56,-2.2,4.8
0,2021-12-02,9.48,31159.98,35863.48,0.7,1.4
0,2021-12-03,10.14,34083.11,35805.91,2.5,3.8
0,2021-12-04,9.03,26245.89,35750.95,0.6,2.7
0,2021-12-05,8.86,27217.59,35698.68,2.2,5.7
0,2021-12-06,4.68,11035.74,35649.22,8.4,9.1
0,2021-12-07,2.26,0.00,35602.65,8.6,10.5
0,2021-12-08,7.49,26359.37,35559.08,4.5,7.2
0,2021-12-09,11.04,30830.43,35518.60,5.1,8.6
0,2021-12-10,8.79,29667.19,35481.31,5.4,7.4
0,2021-12-11,9.09,31418.70,35447.31,6.5,9.1
0,2021-12-12,7.49,23170.71,35416.68,6.0,9.3
0,2021-12-13,8.69,28350.97,35389.53,1.2,3.1
0,2021-12-14,11.26,34790.70,35365.88,0.4,2.4
0,2021-12-15,9.16,21657.38,35345.43,3.1,4.3
0,2021-12-16,9.40,23291.58,35328.11,7.1,8.3
0,2021-12-17,6.87,24738.32,35313.92,-0.4,9.4
0,2021-12-18,9.01,33503.70,35302.86,-4.1,-2.3
0,2021-12-19,9.11,30670.37,35294.93,-2.8,-1.2
0,2021-12-20,10.17,34714.40,35290.13,-0.2,1.8
0,2021-12-21,9.53,32411.25,35288.45,3.9,5.8
0,2021-12-22,8.15,26141.91,35289.88,0.4,6.0
0,2021-12-23,10.94,34719.88,35294.41,0.2,2.5
0,2021-12-24,9.01,29639.44,35302.03,5.7,7.2
0,2021-12-25,8.08,25391.74,35312.74,-0.4,7.0
0,2021-12-26,8.36,30950.96,35326.52,-5.4,-2.1
0,2021-12-27,7.62,23331.51,35343.35,-4.2,-0.9
0,2021-12-28,6.99,25525.82,35363.23,-1.6,1.0
0,2021-12-29,6.00,13328.17,35386.13,1.4,3.2
0,2021-12-30,10.00,34844.02,35412.04,-3.1,2.5
0,2021-12-31,7.85,27319.93,35440.93,-3.9,-2.4
0,2022-01-01,9.70,28033.52,35472.80,-5.3,-1.6
0,2022-01-02,11.23,34943.95,35507.62,-1.7,1.1
0,2022-01-03,10.92,34983.10,35545.45,-2.1,2.0
0,2022-01-04,9.48,35025.53,35586.71,-1.2,0.7
0,2022-01-05,6.62,17223.95,35631.38,-3.3,-1.9
0,2022-01-06,6.53,20472.97,35679.35,-1.7,-0.1
0,2022-01-07,7.23,23741.59,35730.51,-2.3,-1.4
0,2022-01-08,11.45,35228.95,35784.74,-1.6,0.4
0,2022-01-09,10.32,27952.66,35841.93,0.8,3.8
0,2022-01-10,11.74,32307.03,35901.99,-0.1,4.9
0,2022-01-11,2.07,5403.76,35964.78,0.3,6.1
0,2022-01-12,8.78,25084.84,36030.21,-3.7,-2.0
0,2022-01-13,11.00,34706.58,36098.15,-5.8,-2.3
0,2022-01-14,10.13,33732.98,36168.51,-3.9,-2.9
0,2022-01-15,9.27,35502.42,36241.17,-2.6,-0.6
0,2022-01-16,11.34,33704.40,36316.02,0.5,3.1
0,2022-01-17,8.78,21600.00,36392.97,-1.9,2.1
0,2022-01-18,7.60,15301.13,36471.90,-4.8,-1.9
0,2022-01-19,9.15,30711.67,36552.70,-2.7,-0.9
0,2022-01-20,10.57,32689.16,36635.28,-3.6,-0.4
0,2022-01-21,9.94,28434.06,36719.53,-4.5,-2.5
0,2022-01-22,11.83,32400.00,36805.35,-2.7,-1.0
0,2022-01-23,3.12,0.00,36892.82,1.6,2.5
0,2022-01-24,9.36,27927.25,36982.86,-1.8,1.7
0,2022-01-25,10.17,24959.41,37075.51,-1.8,-0.2
0,2022-01-26,10.79,32400.00,37170.62,-0.1,2.8
0,2022-01-27,9.35,29858.25,37268.04,-1.5,1.5
0,2022-01-28,7.73,21628.27,37367.61,-0.5,1.2
0,2022-01-29,7.32,17075.66,37469.21,-1.2,1.4
0,2022-01-30,7.21,18008.31,37572.69,-2.9,1.3
0,2022-01-31,10.22,29298.85,37677.90,-3.0,-2.1
0,2022-02-01,10.97,27980.79,37784.72,-1.6,1.5
0,2022-02-02,10.09,25900.23,37893.00,-2.4,-0.5
0,2022-02-03,8.45,19935.65,38002.62,-3.1,-1.6
0,2022-02-04,10.64,26068.67,38113.45,-3.6,-1.1
0,2022-02-05,13.21,36000.00,38225.35,-6.9,-4.2
0,2022-02-06,13.77,36000.00,38338.22,-5.6,-3.2
0,2022-02-07,9.48,15392.44,38451.90,-2.2,-1.1
0,2022-02-08,9.33,17567.78,38566.30,-0.6,2.3
0,2022-02-09,15.06,32430.12,38681.29,-1.8,0.4
0,2022-02-10,6.69,14604.99,38796.75,-0.5,1.5
0,2022-02-11,15.25,36212.95,38912.58,-1.7,1.2
0,2022-02-12,14.49,33220.20,39028.84,-0.8,0.9
0,2022-02-13,3.17,0.00,39146.61,1.5,2.4
0,2022-02-14,13.29,30142.11,39265.98,-0.7,1.5
0,2022-02-15,11.24,29771.76,39386.79,-0.3,3.2
0,2022-02-16,11.84,30619.92,39508.94,-8.0,-3.5
0,2022-02-17,15.83,37241.43,39632.30,-7.5,-4.5
0,2022-02-18,11.71,30134.18,39756.75,-3.3,-1.2
0,2022-02-19,6.33,8894.17,39882.17,1.9,3.4
0,2022-02-20,13.98,34413.67,40008.46,-4.2,2.3
0,2022-02-21,14.40,33509.99,40135.50,-7.2,-4.1
0,2022-02-22,14.01,37520.70,40263.17,-5.5,-2.1
0,2022-02-23,10.81,25826.78,40391.37,-3.6,-2.4
0,2022-02-24,15.26,33413.12,40519.99,-5.5,-2.4
0,2022-02-25,16.98,36209.95,40648.92,-2.8,-0.8
0,2022-02-26,18.47,38696.52,40778.06,-1.1,1.8
0,2022-02-27,15.02,39050.17,40907.29,-1.6,3.7
0,2022-02-28,18.44,38805.55,41036.54,-0.7,3.8
0,2022-03-01,3.76,7200.00,41165.68,4.2,6.4
0,2022-03-02,9.73,20706.88,41294.63,3.0,5.9
0,2022-03-03,14.24,35707.18,41423.27,0.3,3.3
0,2022-03-04,15.45,30005.45,41551.69,-0.7,2.1
0,2022-03-05,16.80,33595.90,41680.90,-0.8,4.9
0,2022-03-06,17.54,39428.16,41810.99,-3.3,-1.8
0,2022-03-07,10.91,19481.35,41941.85,-2.4,-1.1
0,2022-03-08,19.13,39731.16,42073.40,-1.8,0.1
0,2022-03-09,12.39,33784.74,42205.55,0.5,2.4
0,2022-03-10,18.30,41724.33,42338.19,-0.9,3.8
0,2022-03-11,18.80,38084.38,42471.24,4.9,7.4
0,2022-03-12,17.37,35980.92,42604.62,8.9,10.6
0,2022-03-13,16.07,29767.40,42738.22,11.1,12.7
0,2022-03-14,13.31,33543.58,42871.96,11.9,13.7
